#1	
double data(8760,2) #Columns: Time(s); Cold water temperature (°C)	
1800	8.29
5400	8.34
9000	8.4
12600	8.45
16200	8.51
19800	8.56
23400	8.62
27000	8.68
30600	8.73
34200	8.78
37800	8.82
41400	8.86
45000	8.9
48600	8.93
52200	8.96
55800	8.98
59400	8.99
63000	9.01
66600	9.02
70200	9.02
73800	9.02
77400	9.02
81000	9.02
84600	9.01
88200	9.01
91800	9
95400	8.99
99000	8.98
102600	8.96
106200	8.95
109800	8.94
113400	8.93
117000	8.92
120600	8.91
124200	8.91
127800	8.9
131400	8.9
135000	8.9
138600	8.9
142200	8.91
145800	8.91
149400	8.92
153000	8.93
156600	8.94
160200	8.95
163800	8.96
167400	8.97
171000	8.97
174600	8.98
178200	8.99
181800	8.99
185400	9
189000	9
192600	9
196200	9
199800	8.99
203400	8.98
207000	8.97
210600	8.95
214200	8.93
217800	8.9
221400	8.87
225000	8.83
228600	8.79
232200	8.75
235800	8.71
239400	8.66
243000	8.61
246600	8.56
250200	8.51
253800	8.45
257400	8.4
261000	8.35
264600	8.3
268200	8.25
271800	8.21
275400	8.17
279000	8.13
282600	8.09
286200	8.06
289800	8.04
293400	8.02
297000	8.01
300600	8
304200	8
307800	8.01
311400	8.02
315000	8.04
318600	8.07
322200	8.11
325800	8.14
329400	8.19
333000	8.23
336600	8.28
340200	8.34
343800	8.39
347400	8.45
351000	8.51
354600	8.57
358200	8.63
361800	8.69
365400	8.75
369000	8.81
372600	8.86
376200	8.92
379800	8.97
383400	9.02
387000	9.06
390600	9.1
394200	9.14
397800	9.17
401400	9.19
405000	9.21
408600	9.23
412200	9.25
415800	9.26
419400	9.27
423000	9.27
426600	9.28
430200	9.28
433800	9.27
437400	9.27
441000	9.27
444600	9.26
448200	9.26
451800	9.25
455400	9.24
459000	9.23
462600	9.22
466200	9.22
469800	9.21
473400	9.2
477000	9.2
480600	9.2
484200	9.19
487800	9.19
491400	9.19
495000	9.2
498600	9.2
502200	9.2
505800	9.2
509400	9.21
513000	9.21
516600	9.22
520200	9.23
523800	9.23
527400	9.24
531000	9.25
534600	9.25
538200	9.26
541800	9.27
