#1											
double data(8760,12) #comment line											
1800	0	0	9.4	7.289583286	5.26	103100	0.86143582	5.41	0	43.7	7.2
5400	0	0	9.22	7.192112285	4.16	103100	0.866135199	4.59	0	43.7	7.2
9000	0	0	8.67	7.080846042	3.39	103100	0.892098381	3.71	0	43.7	7.2
12600	0	0	8.67	7.281401474	5.23	103100	0.904474302	2.88	0	43.7	7.2
16200	0	0	8.43	6.115437057	3.86	103100	0.848287197	3.47	0	43.7	7.2
19800	0	0	10.35	3.620789437	1.14	103100	0.625944597	10.12	0	43.7	7.2
23400	0	0	11.2	0.281064372	1.43	103100	0.465544195	11.29	0	43.7	7.2
27000	0	0	12.52	-2.616282734	4.55	103100	0.344767657	5	0	43.7	7.2
30600	0	0.08	12.01	-3.943901642	-0.6	103100	0.322803378	4	0	43.7	7.2
34200	1.25	26.82	12.21	-5.52799382	-2.55	103100	0.282528908	6	0	43.7	7.2
37800	7.01	92.8	13.41	-5.977606638	-5.16	103100	0.252328462	7	0	43.7	7.2
41400	247.96	157.98	14.81	-8.341892184	-6.86	103100	0.191890794	2	0	43.7	7.2
45000	673.15	107.89	15.31	-7.929370199	-8.2	103100	0.191887786	3	0	43.7	7.2
48600	755.88	87.6	15.91	-9.623771539	-8.57	103100	0.161657907	4	0	43.7	7.2
52200	746.82	73.26	16.31	-10.97735817	-8.91	103100	0.141502161	6	0	43.7	7.2
55800	670.29	54.37	15.41	-14.64172188	-11.78	103100	0.111289681	8	0	43.7	7.2
59400	338.72	24.35	14.61	-15.26279666	-8.14	103100	0.111302866	5	0	43.7	7.2
63000	0	0	13.11	0.041685403	1.59	103100	0.403396517	3	0	43.7	7.2
66600	0	0	10.61	-2.208002716	-1.68	103100	0.403299507	2	0	43.7	7.2
70200	0	0	8.51	-5.854905783	-10.74	103100	0.352883492	3	0	43.7	7.2
73800	0	0	8.21	-8.109597661	-12.27	103100	0.30256747	3	0	43.7	7.2
77400	0	0	8.31	-8.901733204	-12.64	103100	0.282449205	4	0	43.7	7.2
81000	0	0	8.21	-8.542252154	-12.5	103100	0.292507004	4	0	43.7	7.2
84600	0	0	7.91	-7.952465645	-12.48	103100	0.312617203	4	0	43.7	7.2
88200	0	0	7.51	-7.897101016	-10.81	103100	0.322660804	4	0	43.7	7.2
91800	0	0	7.21	-8.161065324	-13.24	103100	0.322648359	4	0	43.7	7.2
95400	0	0	7.11	-7.855408594	-1.91	103100	0.332701375	6	0	43.7	7.2
99000	0	0	7.31	-8.478429992	-5.54	103100	0.312594694	5	0	43.7	7.2
102600	0	0	7.01	-7.943718292	-5.6	103100	0.332696795	6	0	43.7	7.2
106200	0	0	6.41	-7.721258279	-6.08	103100	0.352778464	7	0	43.7	7.2
109800	0	0	6.01	-7.364062882	-6.35	103100	0.37286343	7	0	43.7	7.2
113400	0	0	5.91	-7.453576007	-6.44	103100	0.372857019	8	0	43.7	7.2
117000	1.2	10.88	5.51	-6.4880401	-5.85	103100	0.413038798	8	0	43.7	7.2
120600	20.76	74.73	6.41	-7.006063242	-5.11	103100	0.372888529	7	0	43.7	7.2
124200	121.14	143.86	7.91	-6.763549636	-3.63	103100	0.34279606	5	0	43.7	7.2
127800	190.82	177.3	9.51	-6.13865724	-1.91	103100	0.322734327	5	0	43.7	7.2
131400	268.5	181.34	10.71	-2.458362198	0.15	103100	0.39323739	2	0	43.7	7.2
135000	189.4	179.08	11.11	-5.150877886	-0.15	103100	0.312713865	1	0	43.7	7.2
