25200;0,105;3
27000;0,105;3
30600;0,105;3
34200;0,105;3
41400;0,105;3
42300;0,105;3
45900;0,315;4
64800;0,105;3
65700;0,105;3
73800;0,42;4
77400;0,525;5
86400;0;0
